heat_id,pipe_id,specimen,grade,melting_practice,rolling_practice,slab_thickness_in,od_in,gauge_in,ca_ppm,s_ppm,exit_temp_c,coiling_temp_c,test_temp_c,orientation,specimen_size,location,charpy_j
"H-002","H-002-P05","2","X65","MP-03","RP-02","8","10.75","0.3","26","17","833","558","-5","Transverse","Full-size","Base metal","152"
"H-002","H-002-P05","3","X65","MP-03","RP-02","8","10.75","0.3","26","17","833","558","-5","Transverse","Full-size","Base metal","154"
"H-002","H-002-P06","1","X65","MP-03","RP-03","8","12.75","0.331","26","17","840","569","-5","Transverse","Full-size","Base metal","156"
"H-002","H-002-P06","2","X65","MP-03","RP-03","8","12.75","0.331","26","17","840","569","-5","Transverse","Full-size","Base metal","158"
"H-002","H-002-P06","3","X65","MP-03","RP-03","8","12.75","0.331","26","17","840","569","-5","Transverse","Full-size","Base metal","161"
"H-003","H-003-P01","1","X65","MP-04","RP-02","10","10.75","0.331","33","22","814","577","-5","Transverse","Full-size","Base metal","156"
"H-003","H-003-P01","2","X65","MP-04","RP-02","10","10.75","0.331","33","22","814","577","-5","Transverse","Full-size","Base metal","158"
"H-003","H-003-P01","3","X65","MP-04","RP-02","10","10.75","0.331","33","22","814","577","-5","Transverse","Full-size","Base metal","160"
"H-003","H-003-P02","1","X65","MP-04","RP-03","10","12.75","0.323","33","22","821","588","-5","Transverse","Full-size","Base metal","162"
"H-003","H-003-P02","2","X65","MP-04","RP-03","10","12.75","0.323","33","22","821","588","-5","Transverse","Full-size","Base metal","164"
"H-003","H-003-P02","3","X65","MP-04","RP-03","10","12.75","0.323","33","22","821","588","-5","Transverse","Full-size","Base metal","153"
"H-003","H-003-P03","1","X65","MP-04","RP-01","10","8.625","0.3","33","22","828","599","-5","Transverse","Full-size","Base metal","155"
"H-003","H-003-P03","2","X65","MP-04","RP-01","10","8.625","0.3","33","22","828","599","-5","Transverse","Full-size","Base metal","157"
"H-003","H-003-P03","3","X65","MP-04","RP-01","10","8.625","0.3","33","22","828","599","-5","Transverse","Full-size","Base metal","160"
"H-003","H-003-P04","1","X65","MP-04","RP-02","10","10.75","0.331","33","22","835","554","-5","Transverse","Full-size","Base metal","149"
"H-003","H-003-P04","2","X65","MP-04","RP-02","10","10.75","0.331","33","22","835","554","-5","Transverse","Full-size","Base metal","152"
"H-003","H-003-P04","3","X65","MP-04","RP-02","10","10.75","0.331","33","22","835","554","-5","Transverse","Full-size","Base metal","154"
"H-003","H-003-P05","1","X65","MP-04","RP-03","10","12.75","0.323","33","22","781","565","-5","Transverse","Full-size","Base metal","167"
"H-003","H-003-P05","2","X65","MP-04","RP-03","10","12.75","0.323","33","22","781","565","-5","Transverse","Full-size","Base metal","169"
"H-003","H-003-P05","3","X65","MP-04","RP-03","10","12.75","0.323","33","22","781","565","-5","Transverse","Full-size","Base metal","171"
"H-004","H-004-P01","1","X65","MP-01","RP-03","8","12.75","0.3","15","9","823","584","-5","Transverse","Full-size","Base metal","184"
"H-004","H-004-P01","2","X65","MP-01","RP-03","8","12.75","0.3","15","9","823","584","-5","Transverse","Full-size","Base metal","187"
"H-004","H-004-P01","3","X65","MP-01","RP-03","8","12.75","0.3","15","9","823","584","-5","Transverse","Full-size","Base metal","189"
"H-004","H-004-P02","1","X65","MP-01","RP-01","8","8.625","0.331","15","9","830","595","-5","Transverse","Full-size","Base metal","191"
"H-004","H-004-P02","2","X65","MP-01","RP-01","8","8.625","0.331","15","9","830","595","-5","Transverse","Full-size","Base metal","193"
"H-004","H-004-P02","3","X65","MP-01","RP-01","8","8.625","0.331","15","9","830","595","-5","Transverse","Full-size","Base metal","195"
"H-004","H-004-P03","1","X65","MP-01","RP-02","8","10.75","0.323","15","9","837","550","-5","Transverse","Full-size","Base metal","197"
"H-004","H-004-P03","2","X65","MP-01","RP-02","8","10.75","0.323","15","9","837","550","-5","Transverse","Full-size","Base metal","199"
"H-004","H-004-P03","3","X65","MP-01","RP-02","8","10.75","0.323","15","9","837","550","-5","Transverse","Full-size","Base metal","188"
"H-004","H-004-P04","1","X65","MP-01","RP-03","8","12.75","0.3","15","9","783","561","-5","Transverse","Full-size","Base metal","203"
"H-004","H-004-P04","2","X65","MP-01","RP-03","8","12.75","0.3","15","9","783","561","-5","Transverse","Full-size","Base metal","191"
"H-004","H-004-P04","3","X65","MP-01","RP-03","8","12.75","0.3","15","9","783","561","-5","Transverse","Full-size","Base metal","194"
"H-005","H-005-P01","1","X65","MP-02","RP-01","8","8.625","0.323","22","14","832","591","-5","Transverse","Full-size","Base metal","163"
"H-005","H-005-P01","2","X65","MP-02","RP-01","8","8.625","0.323","22","14","832","591","-5","Transverse","Full-size","Base metal","165"
"H-005","H-005-P01","3","X65","MP-02","RP-01","8","8.625","0.323","22","14","832","591","-5","Transverse","Full-size","Base metal","154"
"H-005","H-005-P02","1","X65","MP-02","RP-02","8","10.75","0.3","22","14","839","546","-5","Transverse","Full-size","Base metal","156"
"H-005","H-005-P02","2","X65","MP-02","RP-02","8","10.75","0.3","22","14","839","546","-5","Transverse","Full-size","Base metal","158"
"H-005","H-005-P02","3","X65","MP-02","RP-02","8","10.75","0.3","22","14","839","546","-5","Transverse","Full-size","Base metal","160"
"H-005","H-005-P03","1","X65","MP-02","RP-03","8","12.75","0.331","22","14","785","557","-5","Transverse","Full-size","Base metal","173"
"H-005","H-005-P03","2","X65","MP-02","RP-03","8","12.75","0.331","22","14","785","557","-5","Transverse","Full-size","Base metal","175"
"H-005","H-005-P03","3","X65","MP-02","RP-03","8","12.75","0.331","22","14","785","557","-5","Transverse","Full-size","Base metal","178"
"H-006","H-006-P01","1","X65","MP-03","RP-02","10","10.75","0.331","29","19","780","598","-5","Transverse","Full-size","Base metal","167"
"H-006","H-006-P01","2","X65","MP-03","RP-02","10","10.75","0.331","29","19","780","598","-5","Transverse","Full-size","Base metal","169"
"H-006","H-006-P01","3","X65","MP-03","RP-02","10","10.75","0.331","29","19","780","598","-5","Transverse","Full-size","Base metal","171"
"H-006","H-006-P02","1","X65","MP-03","RP-03","10","12.75","0.323","29","19","787","553","-5","Transverse","Full-size","Base metal","173"
"H-006","H-006-P02","2","X65","MP-03","RP-03","10","12.75","0.323","29","19","787","553","-5","Transverse","Full-size","Base metal","175"
"H-006","H-006-P02","3","X65","MP-03","RP-03","10","12.75","0.323","29","19","787","553","-5","Transverse","Full-size","Base metal","164"
"H-007","H-007-P01","1","X65","MP-04","RP-03","8","12.75","0.3","36","24","789","549","-5","Transverse","Full-size","Base metal","132"
"H-007","H-007-P01","2","X65","MP-04","RP-03","8","12.75","0.3","36","24","789","549","-5","Transverse","Full-size","Base metal","134"
"H-007","H-007-P01","3","X65","MP-04","RP-03","8","12.75","0.3","36","24","789","549","-5","Transverse","Full-size","Base metal","136"
"H-007","H-007-P02","1","X65","MP-04","RP-01","8","8.625","0.331","36","24","796","560","-5","Transverse","Full-size","Base metal","138"
"H-007","H-007-P02","2","X65","MP-04","RP-01","8","8.625","0.331","36","24","796","560","-5","Transverse","Full-size","Base metal","140"
"H-007","H-007-P02","3","X65","MP-04","RP-01","8","8.625","0.331","36","24","796","560","-5","Transverse","Full-size","Base metal","143"
"H-007","H-007-P03","1","X65","MP-04","RP-02","8","10.75","0.323","36","24","803","571","-5","Transverse","Full-size","Base metal","144"
"H-007","H-007-P03","2","X65","MP-04","RP-02","8","10.75","0.323","36","24","803","571","-5","Transverse","Full-size","Base metal","147"
"H-007","H-007-P03","3","X65","MP-04","RP-02","8","10.75","0.323","36","24","803","571","-5","Transverse","Full-size","Base metal","149"
"H-007","H-007-P04","1","X65","MP-04","RP-03","8","12.75","0.3","36","24","810","582","-5","Transverse","Full-size","Base metal","139"
"H-007","H-007-P04","2","X65","MP-04","RP-03","8","12.75","0.3","36","24","810","582","-5","Transverse","Full-size","Base metal","128"
"H-007","H-007-P04","3","X65","MP-04","RP-03","8","12.75","0.3","36","24","810","582","-5","Transverse","Full-size","Base metal","130"
"H-007","H-007-P05","1","X65","MP-04","RP-01","8","8.625","0.331","36","24","817","593","-5","Transverse","Full-size","Base metal","132"
"H-007","H-007-P05","2","X65","MP-04","RP-01","8","8.625","0.331","36","24","817","593","-5","Transverse","Full-size","Base metal","134"
"H-007","H-007-P05","3","X65","MP-04","RP-01","8","8.625","0.331","36","24","817","593","-5","Transverse","Full-size","Base metal","136"
"H-007","H-007-P06","1","X65","MP-04","RP-02","8","10.75","0.323","36","24","824","548","-5","Transverse","Full-size","Base metal","138"
"H-007","H-007-P06","2","X65","MP-04","RP-02","8","10.75","0.323","36","24","824","548","-5","Transverse","Full-size","Base metal","140"
"H-007","H-007-P06","3","X65","MP-04","RP-02","8","10.75","0.323","36","24","824","548","-5","Transverse","Full-size","Base metal","143"
"H-007","H-007-P07","1","X65","MP-04","RP-03","8","12.75","0.3","36","24","831","559","-5","Transverse","Full-size","Base metal","133"
"H-007","H-007-P07","2","X65","MP-04","RP-03","8","12.75","0.3","36","24","831","559","-5","Transverse","Full-size","Base metal","135"
"H-007","H-007-P07","3","X65","MP-04","RP-03","8","12.75","0.3","36","24","831","559","-5","Transverse","Full-size","Base metal","124"
"H-008","H-008-P01","1","X65","MP-01","RP-01","8","8.625","0.323","18","11","798","556","-5","Transverse","Full-size","Base metal","201"
"H-008","H-008-P01","2","X65","MP-01","RP-01","8","8.625","0.323","18","11","798","556","-5","Transverse","Full-size","Base metal","204"
"H-008","H-008-P01","3","X65","MP-01","RP-01","8","8.625","0.323","18","11","798","556","-5","Transverse","Full-size","Base metal","193"
"H-008","H-008-P02","1","X65","MP-01","RP-02","8","10.75","0.3","18","11","805","567","-5","Transverse","Full-size","Base metal","208"
"H-008","H-008-P02","2","X65","MP-01","RP-02","8","10.75","0.3","18","11","805","567","-5","Transverse","Full-size","Base metal","197"
"H-008","H-008-P02","3","X65","MP-01","RP-02","8","10.75","0.3","18","11","805","567","-5","Transverse","Full-size","Base metal","199"
"H-008","H-008-P03","1","X65","MP-01","RP-03","8","12.75","0.331","18","11","812","578","-5","Transverse","Full-size","Base metal","201"
"H-008","H-008-P03","2","X65","MP-01","RP-03","8","12.75","0.331","18","11","812","578","-5","Transverse","Full-size","Base metal","203"
"H-008","H-008-P03","3","X65","MP-01","RP-03","8","12.75","0.331","18","11","812","578","-5","Transverse","Full-size","Base metal","205"
"H-008","H-008-P04","1","X65","MP-01","RP-01","8","8.625","0.323","18","11","819","589","-5","Transverse","Full-size","Base metal","195"
"H-008","H-008-P04","2","X65","MP-01","RP-01","8","8.625","0.323","18","11","819","589","-5","Transverse","Full-size","Base metal","198"
"H-008","H-008-P04","3","X65","MP-01","RP-01","8","8.625","0.323","18","11","819","589","-5","Transverse","Full-size","Base metal","200"
"H-008","H-008-P05","1","X65","MP-01","RP-02","8","10.75","0.3","18","11","826","600","-5","Transverse","Full-size","Base metal","202"
"H-008","H-008-P05","2","X65","MP-01","RP-02","8","10.75","0.3","18","11","826","600","-5","Transverse","Full-size","Base metal","190"
"H-008","H-008-P05","3","X65","MP-01","RP-02","8","10.75","0.3","18","11","826","600","-5","Transverse","Full-size","Base metal","193"
"H-008","H-008-P06","1","X65","MP-01","RP-03","8","12.75","0.331","18","11","833","555","-5","Transverse","Full-size","Base metal","194"
"H-008","H-008-P06","2","X65","MP-01","RP-03","8","12.75","0.331","18","11","833","555","-5","Transverse","Full-size","Base metal","197"
"H-008","H-008-P06","3","X65","MP-01","RP-03","8","12.75","0.331","18","11","833","555","-5","Transverse","Full-size","Base metal","199"
"H-009","H-009-P01","1","X65","MP-02","RP-02","10","10.75","0.331","25","16","807","563","-5","Transverse","Full-size","Base metal","166"
"H-009","H-009-P01","2","X65","MP-02","RP-02","10","10.75","0.331","25","16","807","563","-5","Transverse","Full-size","Base metal","169"
"H-009","H-009-P01","3","X65","MP-02","RP-02","10","10.75","0.331","25","16","807","563","-5","Transverse","Full-size","Base metal","171"
"H-009","H-009-P02","1","X65","MP-02","RP-03","10","12.75","0.323","25","16","814","574","-5","Transverse","Full-size","Base metal","173"
"H-009","H-009-P02","2","X65","MP-02","RP-03","10","12.75","0.323","25","16","814","574","-5","Transverse","Full-size","Base metal","175"
"H-009","H-009-P02","3","X65","MP-02","RP-03","10","12.75","0.323","25","16","814","574","-5","Transverse","Full-size","Base metal","178"
"H-009","H-009-P03","1","X65","MP-02","RP-01","10","8.625","0.3","25","16","821","585","-5","Transverse","Full-size","Base metal","179"
"H-009","H-009-P03","2","X65","MP-02","RP-01","10","8.625","0.3","25","16","821","585","-5","Transverse","Full-size","Base metal","168"
"H-009","H-009-P03","3","X65","MP-02","RP-01","10","8.625","0.3","25","16","821","585","-5","Transverse","Full-size","Base metal","170"
"H-009","H-009-P04","1","X65","MP-02","RP-02","10","10.75","0.331","25","16","828","596","-5","Transverse","Full-size","Base metal","160"
"H-009","H-009-P04","2","X65","MP-02","RP-02","10","10.75","0.331","25","16","828","596","-5","Transverse","Full-size","Base metal","163"
"H-009","H-009-P04","3","X65","MP-02","RP-02","10","10.75","0.331","25","16","828","596","-5","Transverse","Full-size","Base metal","165"
"H-009","H-009-P05","1","X65","MP-02","RP-03","10","12.75","0.323","25","16","835","551","-5","Transverse","Full-size","Base metal","167"
"H-009","H-009-P05","2","X65","MP-02","RP-03","10","12.75","0.323","25","16","835","551","-5","Transverse","Full-size","Base metal","169"
"H-009","H-009-P05","3","X65","MP-02","RP-03","10","12.75","0.323","25","16","835","551","-5","Transverse","Full-size","Base metal","171"
"H-010","H-010-P01","1","X65","MP-03","RP-03","8","12.75","0.3","32","21","816","570","-5","Transverse","Full-size","Base metal","145"
"H-010","H-010-P01","2","X65","MP-03","RP-03","8","12.75","0.3","32","21","816","570","-5","Transverse","Full-size","Base metal","134"
"H-010","H-010-P01","3","X65","MP-03","RP-03","8","12.75","0.3","32","21","816","570","-5","Transverse","Full-size","Base metal","136"
"H-010","H-010-P02","1","X65","MP-03","RP-01","8","8.625","0.331","32","21","823","581","-5","Transverse","Full-size","Base metal","138"
"H-010","H-010-P02","2","X65","MP-03","RP-01","8","8.625","0.331","32","21","823","581","-5","Transverse","Full-size","Base metal","140"
"H-010","H-010-P02","3","X65","MP-03","RP-01","8","8.625","0.331","32","21","823","581","-5","Transverse","Full-size","Base metal","143"
"H-010","H-010-P03","1","X65","MP-03","RP-02","8","10.75","0.323","32","21","830","592","-5","Transverse","Full-size","Base metal","144"
"H-010","H-010-P03","2","X65","MP-03","RP-02","8","10.75","0.323","32","21","830","592","-5","Transverse","Full-size","Base metal","147"
"H-010","H-010-P03","3","X65","MP-03","RP-02","8","10.75","0.323","32","21","830","592","-5","Transverse","Full-size","Base metal","149"
"H-010","H-010-P04","1","X65","MP-03","RP-03","8","12.75","0.3","32","21","837","547","-5","Transverse","Full-size","Base metal","139"
"H-010","H-010-P04","2","X65","MP-03","RP-03","8","12.75","0.3","32","21","837","547","-5","Transverse","Full-size","Base metal","128"
"H-010","H-010-P04","3","X65","MP-03","RP-03","8","12.75","0.3","32","21","837","547","-5","Transverse","Full-size","Base metal","130"
"H-011","H-011-P01","1","X65","MP-04","RP-01","8","8.625","0.323","14","8","825","577","-5","Transverse","Full-size","Base metal","201"
"H-011","H-011-P01","2","X65","MP-04","RP-01","8","8.625","0.323","14","8","825","577","-5","Transverse","Full-size","Base metal","204"
"H-011","H-011-P01","3","X65","MP-04","RP-01","8","8.625","0.323","14","8","825","577","-5","Transverse","Full-size","Base metal","206"
"H-011","H-011-P02","1","X65","MP-04","RP-02","8","10.75","0.3","14","8","832","588","-5","Transverse","Full-size","Base metal","208"
"H-011","H-011-P02","2","X65","MP-04","RP-02","8","10.75","0.3","14","8","832","588","-5","Transverse","Full-size","Base metal","197"
"H-011","H-011-P02","3","X65","MP-04","RP-02","8","10.75","0.3","14","8","832","588","-5","Transverse","Full-size","Base metal","199"
"H-011","H-011-P03","1","X65","MP-04","RP-03","8","12.75","0.331","14","8","839","599","-5","Transverse","Full-size","Base metal","200"
"H-011","H-011-P03","2","X65","MP-04","RP-03","8","12.75","0.331","14","8","839","599","-5","Transverse","Full-size","Base metal","203"
"H-011","H-011-P03","3","X65","MP-04","RP-03","8","12.75","0.331","14","8","839","599","-5","Transverse","Full-size","Base metal","205"
"H-012","H-012-P01","1","X65","MP-01","RP-02","10","10.75","0.331","21","13","834","584","-5","Transverse","Full-size","Base metal","166"
"H-012","H-012-P01","2","X65","MP-01","RP-02","10","10.75","0.331","21","13","834","584","-5","Transverse","Full-size","Base metal","169"
"H-012","H-012-P01","3","X65","MP-01","RP-02","10","10.75","0.331","21","13","834","584","-5","Transverse","Full-size","Base metal","171"
"H-012","H-012-P02","1","X65","MP-01","RP-03","10","12.75","0.323","21","13","780","595","-5","Transverse","Full-size","Base metal","184"
"H-012","H-012-P02","2","X65","MP-01","RP-03","10","12.75","0.323","21","13","780","595","-5","Transverse","Full-size","Base metal","186"
"H-012","H-012-P02","3","X65","MP-01","RP-03","10","12.75","0.323","21","13","780","595","-5","Transverse","Full-size","Base metal","189"
"H-013","H-013-P01","1","X65","MP-02","RP-03","8","12.75","0.3","28","18","782","591","-5","Transverse","Full-size","Base metal","184"
"H-013","H-013-P01","2","X65","MP-02","RP-03","8","12.75","0.3","28","18","782","591","-5","Transverse","Full-size","Base metal","172"
"H-013","H-013-P01","3","X65","MP-02","RP-03","8","12.75","0.3","28","18","782","591","-5","Transverse","Full-size","Base metal","175"
"H-013","H-013-P02","1","X65","MP-02","RP-01","8","8.625","0.331","28","18","789","546","-5","Transverse","Full-size","Base metal","176"
"H-013","H-013-P02","2","X65","MP-02","RP-01","8","8.625","0.331","28","18","789","546","-5","Transverse","Full-size","Base metal","179"
"H-013","H-013-P02","3","X65","MP-02","RP-01","8","8.625","0.331","28","18","789","546","-5","Transverse","Full-size","Base metal","181"
"H-013","H-013-P03","1","X65","MP-02","RP-02","8","10.75","0.323","28","18","796","557","-5","Transverse","Full-size","Base metal","183"
"H-013","H-013-P03","2","X65","MP-02","RP-02","8","10.75","0.323","28","18","796","557","-5","Transverse","Full-size","Base metal","185"
"H-013","H-013-P03","3","X65","MP-02","RP-02","8","10.75","0.323","28","18","796","557","-5","Transverse","Full-size","Base metal","188"
"H-013","H-013-P04","1","X65","MP-02","RP-03","8","12.75","0.3","28","18","803","568","-5","Transverse","Full-size","Base metal","177"
"H-013","H-013-P04","2","X65","MP-02","RP-03","8","12.75","0.3","28","18","803","568","-5","Transverse","Full-size","Base metal","180"
"H-013","H-013-P04","3","X65","MP-02","RP-03","8","12.75","0.3","28","18","803","568","-5","Transverse","Full-size","Base metal","169"
"H-013","H-013-P05","1","X65","MP-02","RP-01","8","8.625","0.331","28","18","810","579","-5","Transverse","Full-size","Base metal","170"
"H-013","H-013-P05","2","X65","MP-02","RP-01","8","8.625","0.331","28","18","810","579","-5","Transverse","Full-size","Base metal","173"
"H-013","H-013-P05","3","X65","MP-02","RP-01","8","8.625","0.331","28","18","810","579","-5","Transverse","Full-size","Base metal","175"
"H-013","H-013-P06","1","X65","MP-02","RP-02","8","10.75","0.323","28","18","817","590","-5","Transverse","Full-size","Base metal","176"
"H-013","H-013-P06","2","X65","MP-02","RP-02","8","10.75","0.323","28","18","817","590","-5","Transverse","Full-size","Base metal","179"
"H-013","H-013-P06","3","X65","MP-02","RP-02","8","10.75","0.323","28","18","817","590","-5","Transverse","Full-size","Base metal","181"
"H-013","H-013-P07","1","X65","MP-02","RP-03","8","12.75","0.3","28","18","824","545","-5","Transverse","Full-size","Base metal","171"
"H-013","H-013-P07","2","X65","MP-02","RP-03","8","12.75","0.3","28","18","824","545","-5","Transverse","Full-size","Base metal","173"
"H-013","H-013-P07","3","X65","MP-02","RP-03","8","12.75","0.3","28","18","824","545","-5","Transverse","Full-size","Base metal","162"
"H-014","H-014-P01","1","X65","MP-03","RP-01","8","8.625","0.323","35","23","791","598","-5","Transverse","Full-size","Base metal","149"
"H-014","H-014-P01","2","X65","MP-03","RP-01","8","8.625","0.323","35","23","791","598","-5","Transverse","Full-size","Base metal","151"
"H-014","H-014-P01","3","X65","MP-03","RP-01","8","8.625","0.323","35","23","791","598","-5","Transverse","Full-size","Base metal","153"
"H-014","H-014-P02","1","X65","MP-03","RP-02","8","10.75","0.3","35","23","798","553","-5","Transverse","Full-size","Base metal","155"
"H-014","H-014-P02","2","X65","MP-03","RP-02","8","10.75","0.3","35","23","798","553","-5","Transverse","Full-size","Base metal","144"
"H-014","H-014-P02","3","X65","MP-03","RP-02","8","10.75","0.3","35","23","798","553","-5","Transverse","Full-size","Base metal","146"
"H-014","H-014-P03","1","X65","MP-03","RP-03","8","12.75","0.331","35","23","805","564","-5","Transverse","Full-size","Base metal","148"
"H-014","H-014-P03","2","X65","MP-03","RP-03","8","12.75","0.331","35","23","805","564","-5","Transverse","Full-size","Base metal","150"
"H-014","H-014-P03","3","X65","MP-03","RP-03","8","12.75","0.331","35","23","805","564","-5","Transverse","Full-size","Base metal","153"
"H-014","H-014-P04","1","X65","MP-03","RP-01","8","8.625","0.323","35","23","812","575","-5","Transverse","Full-size","Base metal","142"
"H-014","H-014-P04","2","X65","MP-03","RP-01","8","8.625","0.323","35","23","812","575","-5","Transverse","Full-size","Base metal","145"
"H-014","H-014-P04","3","X65","MP-03","RP-01","8","8.625","0.323","35","23","812","575","-5","Transverse","Full-size","Base metal","147"
"H-014","H-014-P05","1","X65","MP-03","RP-02","8","10.75","0.3","35","23","819","586","-5","Transverse","Full-size","Base metal","149"
"H-014","H-014-P05","2","X65","MP-03","RP-02","8","10.75","0.3","35","23","819","586","-5","Transverse","Full-size","Base metal","151"
"H-014","H-014-P05","3","X65","MP-03","RP-02","8","10.75","0.3","35","23","819","586","-5","Transverse","Full-size","Base metal","140"
"H-014","H-014-P06","1","X65","MP-03","RP-03","8","12.75","0.331","35","23","826","597","-5","Transverse","Full-size","Base metal","141"
"H-014","H-014-P06","2","X65","MP-03","RP-03","8","12.75","0.331","35","23","826","597","-5","Transverse","Full-size","Base metal","144"
"H-014","H-014-P06","3","X65","MP-03","RP-03","8","12.75","0.331","35","23","826","597","-5","Transverse","Full-size","Base metal","146"
"H-015","H-015-P01","1","X65","MP-04","RP-02","10","10.75","0.331","17","10","800","549","-5","Transverse","Full-size","Base metal","177"
"H-015","H-015-P01","2","X65","MP-04","RP-02","10","10.75","0.331","17","10","800","549","-5","Transverse","Full-size","Base metal","180"
"H-015","H-015-P01","3","X65","MP-04","RP-02","10","10.75","0.331","17","10","800","549","-5","Transverse","Full-size","Base metal","182"
"H-015","H-015-P02","1","X65","MP-04","RP-03","10","12.75","0.323","17","10","807","560","-5","Transverse","Full-size","Base metal","184"
"H-015","H-015-P02","2","X65","MP-04","RP-03","10","12.75","0.323","17","10","807","560","-5","Transverse","Full-size","Base metal","186"
"H-015","H-015-P02","3","X65","MP-04","RP-03","10","12.75","0.323","17","10","807","560","-5","Transverse","Full-size","Base metal","188"
"H-015","H-015-P03","1","X65","MP-04","RP-01","10","8.625","0.3","17","10","814","571","-5","Transverse","Full-size","Base metal","190"
