batch,question_number,question_id,verified_key,key_letter_changed,record_changed,correction,independent_solution,option_review,rendered_attempt,rendered_review,interaction_result,source_evidence,source_limit,local_status,release_status
1,11,mbb:set-2:original-011,B,False,True,Made the case-specific mandatory validation assumption visible.,"B: Under the explicitly approved validation requirement, assess risk/scope/time/cost through change control and rebaseline. FMEA and sponsor schedule preference cannot replace the required validation.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp202–204: balancing project scope/resources/time/quality; validation requirement is authored case fact,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,12,mbb:set-2:original-012,C,False,True,Removed unsupported validation metadata; preserved readable network labels on mobile.,"C: A-B-D-E=30+40+25+15=110 working days; A-C-D-E=105. The longest path governs, and C has five days of float. All five projects cannot start on day 1 despite unlimited nonshared resources.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp197–198: predecessor–successor relationships; own critical-path calculation,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,13,mbb:set-2:original-013,A,False,True,Classified selected-response task as Evaluate rather than Create.,A: Peak demand 13 minus capacity 9 is a four-FTE shortfall. Protect the three mandatory FTEs and smooth/defer lower-priority discretionary work; averages and unverified overtime do not solve the peak.,Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp217–218: resource forecasting,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,14,mbb:set-2:original-014,D,False,True,"Separated conditional capacity value from supported cash NPV; specified cash timing and exclusions; rewrote all options, rationale and calculation.","D: Four-year 10% factor=3.1698654463. X conditional discounted capacity value=$97,370.40, not a supported cash inflow. Y supported cash NPV=$91,329.14. With only its outlay supported, X cash-only NPV=-$600,000.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp227–228 and231–232: cash versus soft benefits; own discounted-flow calculation,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,15,mbb:set-2:original-015,B,False,True,Removed unsupported 120-hour feasibility constraint; clarified priority selection and ordinal scale limitations.,"B: Prioritize high-impact Green Belt MSA and Champion selection gaps, then targeted Black Belt remediation. Process Owners meet the requirement. Ordinal proficiency is not a validated interval scale; durations are needed before scheduling feasibility can be claimed.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp236–237: role-specific training gaps,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,16,mbb:set-2:original-016,C,False,True,Corrected reaction-improvement claim; added descriptive comparison calculation and attribution limits; Evaluate classification.,"C: Knowledge increases 30 percentage points; adherence increases two points in both areas, giving descriptive difference-in-differences zero. Favorable reaction is not evidence of increased reaction. Short nonrandomized observation neither proves attributable benefit nor proves no effect.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp285–286: training evaluation levels; own descriptive difference-in-differences,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,17,mbb:set-2:original-017,A,False,False,No record/content change required; shared review/interaction fixes apply.,"A: Provide private, specific constructive coaching, rehearse role-appropriate tollgate questions and follow up. Public humiliation, pushing the Belt to confront the champion, and immediate removal are inappropriate first responses to the described situation.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp304–305: tactful constructive executive feedback,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed; shared UI corrected,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,18,mbb:set-2:original-018,D,False,True,Evaluate classification and select wording instead of claiming a created plan.,"D: Pause the large DOE, diagnose and narrow scope, secure sponsor/process ownership, validate the baseline and set a recovery/reassignment gate. More hours, delegation or experimental complexity do not repair the missing prerequisites.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,"Kubiak p306: mentoring, cancel/reassign; pp300–301: rescope unwieldy charters",Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,19,mbb:set-2:original-019,B,False,True,Corrected approximate/exact propagation description and units; retained standard-uncertainty answer.,"B: t=(508-492)/2=8 mm; Var(t)=0.5^2*0.040^2+(-0.5)^2*0.060^2=0.0013 mm^2. Standard uncertainty=sqrt(0.0013)=0.0360555 mm. Linear propagation is exact under independence, not expanded uncertainty.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak p318: noise propagation; NIST TN1297 AppendixA; own exact linear variance calculation,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,20,mbb:set-2:original-020,A,False,True,Made partial-model diagnostic excerpt and independence explicit; readable interactive plot and data alternative.,"A: The displayed U-shaped conditional residual pattern suggests omitted curvature/model form. Low VIF and an acceptable normal-probability plot do not establish predictive adequacy. These nine points are explicitly an excerpt, not the complete fitting sample.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp400–401: residual diagnostics; U-shaped pattern independently interpreted,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,21,mbb:set-2:original-021,C,False,True,Separated stability and capability in keyed option and explanation; distinguished control and specification limits.,C: APC regulates rapidly; SPC assesses stability. Capability is a separate comparison with CTQ specifications using an appropriate stable-process model. Controller activity and in-control charts do not prove capability.,Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp451–452: APC/SPC; NIST6.1.6: capability relative to specifications,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,22,mbb:set-2:original-022,B,False,True,"Replaced unreplicated illustrative schedule with complete 16-run/four-whole-plot design, units and randomization structure.","B: Four independent oven whole plots (two per temperature), each with four randomized formulations, give 16 subplot runs. Whole-plot temperature error differs from subplot error. For this unblocked design: temperature df1, whole-plot error df2, formulation df3, interaction df3, subplot error df6; total15.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak p449 and NIST5.5.5: split-plot experimental units/errors; own replication/df checks,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,23,mbb:set-2:original-023,D,False,True,Recomputed ACF0.78 to0.8170927; added short-history/trend cautions; retained raw backlog monitoring; usable interactive plot.,"D: From all 18 plotted observations, mean=122.8888889, lag numerator=3116.20987654 and denominator=3813.77777778, giving r1=0.8170926724. A trending short series is not a stationary AR(1) fit. Investigate the trend and validate adequate history/model while retaining raw backlog monitoring.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp353–354 and NIST1.3.5.12: stationarity/ACF; own complete calculation,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,24,mbb:set-2:original-024,A,False,True,"Specified event coding, ten-minute units and two-sided Wald test; changed causal to associational interpretation.","A: For abandonment=1, exp(0.42)=1.5219616 per ten minutes, holding other predictors fixed. New-agent z=0.18/0.21=0.85714 gives two-sided normal-Wald p=0.39137. Association is not causation; odds are not probability points.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,Kubiak pp384–385: logistic link/odds; own exp(coefficient)/Wald calculation,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
1,25,mbb:set-2:original-025,C,False,True,Specified MPa/MPa² and independent variance assumptions; fixed distractor on additivity; expanded 4.65% versus20% explanation.,"C: Independent variances add to22 MPa^2. Removing repeatability leaves20. SD falls from4.690416 to4.472136 MPa, a4.653741% reduction. A20% SD reduction requires36% variance reduction; subtracting variance directly from SD mixes units.",Four distinct options and all three distractor rationales checked; one defensible best answer under stated case,Desktop1440x1000 and mobile390x844 individually opened; layout visually inspected,Reopened through real student review; chart/context retained; three distractors available,Selection retention and flag controls passed on both layouts; applicable slider/points/data fallback tested,NIST5.5.5: nested random effects/variance components; own independent variance algebra. Kubiak pp408–414 primary page text and Advanced second-source range not fully verified.,Evidence checks concern supporting concepts. An exhaustive recheck of every legacy printed page range/secondary citation is not certified.,Passed after corrections,Blocked: live authenticated/device acceptance and final source-range closure outstanding
